Combined IGFS-EVHOE Survey Index. Mean Number per xxxx,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
1,1,0.79,,,,,,,,,,,,,,,,
Year,X0,X1,X2,X3,X4,X5,X6,X7,X8,NumHauls,NumGridCells,,,,,,,
2003,0.000,0.570,0.528,0.459,0.120,0.000,0.000,0.000,0.000,74,45,,,,,,,
2004,0.095,0.556,0.175,0.087,0.098,0.077,0.000,0.000,0.000,68,42,,,,,,,
2005,0.028,1.889,0.323,0.101,0.000,0.000,0.000,0.000,0.000,81,47,,,,,,,
2006,0.000,1.151,0.481,0.093,0.000,0.000,0.013,0.000,0.000,89,50,,,,,,,
2007,0.000,1.588,0.447,0.202,0.050,0.000,0.000,0.000,0.000,91,52,,,,,,,
2008,0.000,0.411,0.823,0.239,0.135,0.000,0.000,0.000,0.000,89,47,,,,,,,
2009,0.052,1.167,0.083,0.166,0.106,0.000,0.011,0.000,0.000,79,48,,,,,,,
2010,0.078,6.956,0.606,0.021,0.035,0.010,0.000,0.000,0.000,98,51,,,,,,,
2011,0.020,3.536,3.231,0.247,0.054,0.039,0.000,0.000,0.000,106,51,,,,,,,
2012,0.000,0.433,1.162,0.798,0.255,0.040,0.000,0.000,0.000,99,50,,,,,,,
2013,0.081,0.401,0.088,0.228,0.190,0.000,0.000,0.000,0.000,97,49,,,,,,,
2014,0.000,2.667,0.080,0.088,0.142,0.130,0.024,0.037,0.024,29,21,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,,,,,,
0,6,,,,,,,,,,,0,1,2,3,4,5,6
1,0.14,0.61,0.75,0.5,0.17,0,0,,#2003,,2003,0.141,0.607,0.747,0.497,0.165,NA,NA
1,0.24,0.88,0.24,0.15,0.14,0.07,0,,#2004,,2004,0.245,0.878,0.243,0.149,0.137,0.070,NA
1,0.06,1.81,0.26,0.09,0,0,0,,#2005,,2005,0.063,1.808,0.265,0.089,NA,NA,NA
1,0.04,1.39,0.67,0.08,0,0,0.02,,#2006,,2006,0.036,1.395,0.670,0.083,NA,NA,0.018
1,0,1.93,0.64,0.19,0.05,0,0,,#2007,,2007,NA,1.928,0.640,0.188,0.051,NA,NA
1,0,0.55,0.88,0.24,0.12,0,0,,#2008,,2008,NA,0.546,0.880,0.241,0.123,NA,NA
1,0.1,1.38,0.17,0.26,0.12,0,0.01,,#2009,,2009,0.105,1.384,0.174,0.259,0.118,NA,0.012
1,0.12,7.34,0.76,0.04,0.06,0.07,0,,#2010,,2010,0.123,7.337,0.758,0.042,0.058,0.070,NA
1,0.02,4.09,3.54,0.22,0.04,0.03,0,,#2011,,2011,0.016,4.091,3.540,0.223,0.044,0.033,NA
1,0,0.39,1.32,0.8,0.19,0.04,0,,#2012,,2012,NA,0.392,1.315,0.801,0.195,0.035,NA
1,0.08,0.42,0.05,0.21,0.23,0,0,,#2013,,2013,0.078,0.425,0.049,0.206,0.230,NA,NA
1,0,3.64,0.27,0.12,0.15,0.2,0,,#2014,,2014,NA,3.635,0.270,0.116,0.150,0.198,NA
,,,,,,,,,,,,,,,,,,
RCT3,,,,,,,,,,,0,NA,3.64,0.27,0.12,0.15,0.2,NA
,Year,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,,,,,,,,,,
,2003,0.141333,0.606613,0.747253,0.49747,0.165376,NA,NA,,,2003,1.00,1.00,1.00,1.00,1.00,,
,2004,0.244904,0.878003,0.242969,0.149002,0.136667,0.07,NA,,,2004,1.00,1.00,1.00,1.00,1.00,1.00,
,2005,0.062893,1.807649,0.264861,0.089352,NA,NA,NA,,,2005,1.00,1.00,1.00,1.00,,,
,2006,0.035714,1.394888,0.670298,0.083333,NA,NA,0.017857,,,2006,1.00,1.00,1.00,1.00,,,1.00
,2007,NA,1.927676,0.640183,0.188182,0.050909,NA,NA,,,2007,,1.00,1.00,1.00,1.00,,
,2008,NA,0.546237,0.880129,0.240734,0.123333,NA,NA,,,2008,,1.00,1.00,1.00,1.00,,
,2009,0.104651,1.383846,0.174419,0.259341,0.117883,NA,0.012029,,,2009,1.00,1.00,1.00,1.00,1.00,,1.00
,2010,0.123084,7.337067,0.757563,0.04197,0.058099,0.070499,NA,,,2010,1.00,1.00,1.00,1.00,1.00,1.00,
,2011,0.016393,4.090657,3.539825,0.222706,0.043717,0.032787,NA,,,2011,1.00,1.00,1.00,1.00,1.00,1.00,
,2012,NA,0.392458,1.315303,0.800542,0.194952,0.035088,NA,,,2012,,1.00,1.00,1.00,1.00,1.00,
,2013,0.077588,0.424837,0.048703,0.205608,0.229538,NA,NA,,,2013,1.00,1.00,1.00,1.00,1.00,,
,2014,0.011494,3.900157,0.206886,0.204443,0.228545,0.042688,0.085381,,,2014,,1.07,0.77,1.76,1.52,0.22,
