IR-GFS-7G : Irish Groundfish Survey in VIIg (IBTS 4th Qtr) - Haddock no. @ age,,,,,,,,,,,,,
2003,2016,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,
0,7,,,,,,,,,,,,
832,3042,6975,489,11,6,0,0,0,,2003,,,
980,14567,2400,1687,101,7,4,0,0,,2004,,,
845,15997,2594,173,125,20,1,0,0,,2005,,,
1046,5098,3163,361,32,9,3,1,0,,2006,,,
1168,15557,1316,539,102,3,4,0,0,,2007,,,
1139,12644,4487,156,41,9,0,4,0,,2008,,,
1018,88424,1412,701,47,7,1,0,0,,2009,,,
1381,4538,49888,1263,277,17,3,0,1,,2010,,,
1392,734,3924,13259,231,111,21,3,1,,2011,,,
1470,1105,387,1070,4106,72,36,5,2,,2012,,,
1439,22662,603,225,418,865,41,7,1,,2013,,,
1487,3171,19937,207,68,119,251,13,3,,2014,,,
1236,42554,1601,2296,20,17,54,87,2,,2015,,,
1438,2984,16612,701,363,0,0,1,0,,2016,,,
,,,,,,,,,,,,,
IR-GFS-7J : Irish Groundfish Survey in VIIj (IBTS 4th Qtr) - Haddock no. @ age ,,,,,,,,,,,,,
2003,2016,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,
0,7,,,,,,,,,,,,
780,4592,16281,640,74,20,1,0,0,,2003,,,
720,5175,1620,1395,44,7,4,1,0,,2004,,,
881,1474,1273,240,286,36,6,2,0,,2005,,,
901,2636,262,124,53,50,7,0,0,,2006,,,
874,22831,2116,192,71,20,36,1,0,,2007,,,
873,14056,4934,222,20,15,6,6,3,,2008,,,
747,56856,1476,205,2,1,2,2,1,,2009,,,
1021,1308,27870,1906,362,8,5,9,1,,2010,,,
1052,729,796,8169,316,57,2,1,2,,2011,,,
1021,349,223,31,658,28,11,1,2,,2012,,,
1051,18164,149,35,8,147,18,8,3,,2013,,,
1026,741,3936,55,58,24,174,10,2,,2014,,,
840,2565,546,324,7,6,9,37,6,,2015,,,
1074,164,1891,755,368,9,4,3,37,,2016,,,
,,,,,,,,,,,,,
IR-GFS-7g&J : Irish Groundfish Survey in VIIg & j (IBTS 4th Qtr) - Haddock no. @ age ,,,,,,,,,,,,,
2003,2016,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,
0,7,,,,,,,,,,,,
1612,7708,23095,1212,88,27,1,1,0,,2003,,,
1740,19162,4533,3109,183,15,10,1,0,,2004,,,
1726,16119,5196,433,413,56,6,2,0,,2005,,,
1947,7776,3433,416,87,75,10,1,0,,2006,,,
2042,38414,3527,611,171,26,38,1,0,,2007,,,
2012,26721,9403,376,62,25,5,11,3,,2008,,,
1765,145133,3014,931,47,8,3,2,1,,2009,,,
2402,5922,77571,3288,632,25,8,8,2,,2010,,,
2444,1489,4647,21434,590,168,21,4,3,,2011,,,
2491,1454,700,907,4842,122,54,5,3,,2012,,,
2490,40826,753,260,426,1012,59,15,4,,2013,,,
2513,3912,23873,262,126,143,425,23,5,,2014,,,
2076,45120,2147,2620,28,23,63,125,8,,2015,,,
2512,3148,18503,1455,731,9,4,4,37,,2016,,,
,,,,,,,,,,,,,
IR-GFS-7b : Irish Groundfish Survey in VIIb (IBTS 4th Qtr) - Haddock no. @ age ,,,,,,,,,,,,,
2003,2016,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,
0,8,,,,,,,,,,,,
757,11834,34773,2793,874,313,6,1,2,7,2003,,,
728,31311,2960,6688,925,372,196,46,2,1,2004,,,
724,3737,7082,964,2299,188,37,5,0,0,2005,,,
700,8823,2303,2471,614,421,39,16,7,0,2006,,,
734,56350,2383,770,747,434,392,26,9,0,2007,,,
653,10948,11622,398,148,172,98,273,54,4,2008,,,
770,46145,6349,8264,258,272,122,165,110,4,2009,,,
861,10253,19311,2195,1754,36,144,123,50,55,2010,,,
630,11006,2667,5358,670,179,10,13,9,9,2011,,,
794,1471,2621,1075,3240,310,194,17,9,10,2012,,,
788,55936,286,929,337,1174,88,66,5,5,2013,,,
674,12398,2730,58,196,206,319,69,29,0,2014,,,
467,2066,6199,2198,20,140,253,152,33,0,2015,,,
773,295,3113,4422,898,107,34,207,25,17,2016,,,
,,,,,,,,,,,,,
IR-GFS-7bgj : Irish Groundfish Survey in VIIbgj (IBTS 4th Qtr) - Haddock no. @ age per half hour towed,,,,,,,,,,,,,
2003,2016,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,
0,8,,,,,,,,,,,,
1,755,2256,153,38,13,0,0,0,0,2003,,,
1,1952,263,385,43,16,8,2,0,0,2004,,,
1,773,429,54,109,10,2,0,0,0,2005,,,
1,612,198,120,29,20,2,1,0,0,2006,,,
1,3486,204,52,36,19,17,1,0,0,2007,,,
1,1319,822,30,9,9,5,13,3,0,2008,,,
1,6687,348,351,12,11,5,6,4,0,2009,,,
1,494,2576,160,78,2,5,5,2,33,2010,,,
1,561,234,774,46,13,1,1,1,30,2011,,,
1,88,113,63,226,14,8,1,0,31,2012,,,
1,3120,28,41,22,67,5,3,0,0,2013,,,
1,637,639,8,12,12,24,4,1,0,2014,,,
1,1257,457,209,2,10,18,13,2,0,2015,,,
1,78,520,207,53,4,1,8,2,1,2016,,,
