IR-GFS FR-EVHOE Q4 combined indices ,,,,,,,,
2003,2017,,,,,,,
1,1,0.79,0.92,,,,,
0,6,,,,,,,
,,,,,,,,
Year,Effort,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6
2003,1,0.14,0.61,0.75,0.5,0.17,0,0
2004,1,0.24,0.88,0.24,0.15,0.14,0.07,0
2005,1,0.06,1.81,0.26,0.09,0,0,0
2006,1,0.04,1.39,0.67,0.08,0,0,0.02
2007,1,0,1.93,0.64,0.19,0.05,0,0
2008,1,0,0.55,0.88,0.24,0.12,0,0
2009,1,0.1,1.38,0.17,0.26,0.12,0,0.01
2010,1,0.12,7.34,0.76,0.04,0.06,0.07,0
2011,1,0.02,4.09,3.54,0.22,0.04,0.03,0
2012,1,0,0.39,1.32,0.8,0.19,0.04,0
2013,1,0.08,0.42,0.05,0.21,0.23,0,0
2014,1,0,3.64,0.27,0.12,0.15,0.2,0
2015,1,0,0.31,1.36,0.12,0,0.05,0.06
2016,1,0,2.27,0.18,0.81,0.07,0.02,0.07
2017,1,0.04,0.32,0.6,0.27,0.17,0.02,0
