IrGFS : Irish Groundfish Survey (IBTS 4th Qtr) - hake in 6 and 7 number at length and abundance as used by WGBIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##IGFS : Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Quarter,Index No,Abundance,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4,14,24.35,0.126775461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,4,14,73.73,0.2158762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,4,14,121.04,0.48175089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,4,14,64.06,0.200111882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,4,14,88.15,0.111558782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,4,14,162.18,0.125826314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,4,14,59.44,0.12080743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,14,84.71,0.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4,14,85.65,0.140976466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,4,14,315.4,0.138413363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4,14,102.57,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,14,45.13,0.1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,4,14,50,0.1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,4,14,87.71,0.1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,14,108.26,0.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,IGFS: Numbers by length bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
2003,0,0,0,3,8,22,58,122.87,144.844,238.896,288.974,311.948,158.948,120,72,31.974,34.974,36.974,36.974,42.948,57,76.948,68.87,81.896,93.896,95.948,70.974,88.974,79.948,57.974,55,52.974,24,34,32,26,36.974,23,8,8,5,3.948,3,6,0,1.974,1.974,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,13,119.684,127.029,195.953,512.352,800.685,1130.023,1319.148,1147.443,1022.589,694.435,623.229,424.099,371.165,189.279,108.241,125.701,61.157,47.427,65.174,57.4,74.174,66.027,54,64.4,32,50.014,40,40.014,34,25,25,18,37.014,33,15,20.014,11,4,2.014,0,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,5.832,26.989,222.146,342.336,781.092,1107.095,660.251,648.08,761.137,945.866,1018.53,592.304,569.111,316.584,271.314,241.528,232.203,224.807,189.687,211.423,191.882,233.16,224.135,221.041,225.944,159.652,144.773,128.977,125.761,94.459,92.085,68.818,35.801,29.557,53.775,42.004,16,15,18,3,1,2,0,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,3,33.633,94.274,183.81,418.029,609.2,801.277,954.451,848.65,723.107,557.611,391.174,263.445,198.208,116.781,79.594,98.143,85.931,83.38,124.759,147.656,150.931,164.104,170.276,146,130.276,117,96,73,63,55,45,55,44,67,46,23,19,17,19,13,10,10,3,0,3,1,1,5,2,0,1,1,1,0,2,0,0,0,0,1,0,0,0,1
2007,0,0,9.063,60.162,82.599,142.885,444.482,843.311,1204.113,1274.58,1106.19,864.388,586.371,362.934,236.987,185.528,236.025,290.078,228.808,279.135,247.74,270.868,206.526,261.493,258.07,303.334,316.194,300.876,235.708,252.947,220.974,199.691,176.013,146.412,121.285,59.318,143.802,83.766,54.528,33,16.2,16,11,5,3,2,1,7,0,0,3,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
2008,0,0,6.71,18.444,104.852,332.229,788.716,1335.241,2217.822,2812.945,3087.992,2048.481,957.961,611.758,381.242,292.188,229.578,263.672,282.845,339.011,379.062,316.131,368.607,405.254,406.424,436.337,370.85,384.713,357.125,290.664,264.196,235.845,243.976,155.564,143.769,122.808,178.851,109.446,99.031,80.986,34.766,17.012,10,23.743,4,6,3,2,6,3,3.722,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2009,0,0,2,17.74,83.964,324.802,492.762,530.217,368.505,271.196,193.898,136.617,110.527,90.527,81.872,115.654,122.143,113.266,86.747,100.188,119.391,126.693,171.138,265.373,278.842,325.834,340.362,384.157,331.715,321.039,305.926,264.44,230.261,193.877,123.62,103.24,150.269,133.64,114.531,72.553,62.545,34.329,18,20.456,10,8,5,9,7,9,7,3,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0
2010,0,11.04,32.445,83.521,146.578,247.155,572.735,1075.612,1580.421,2018.157,1840.709,1266.9,817.86,483.742,327.714,250.575,247.093,214.135,203.777,196.024,203.639,167.071,161.818,115.406,148.477,165.356,185.94,181.298,184.682,207.201,244.696,228.331,222.681,171.275,112.967,87.626,151.845,119.219,99.219,71,62,28,34,26,12,8,7,6,8,10,3,1,2,2,1,2,1,2,2,0,0,0,0,1,0,0,1
2011,6,19,25,101,262,488,1054,1869,2143,1459,771,676,556,597,659,587,421,355,216,162,93,73,80,90,108,142,128,123,116,104,74,80,57,46,32,40,74,48,54,32,29,16,10,17,7,12,6,11,8,4,4,0,2,2,3,1,0,1,0,0,0,0,0,0,1,0,1
2012,1,0,14,191,427,889,1748,3230,5242,6845,6816,5911,4216,3600,2962,2025,1668,1127,767,541,551,509,508,487,468,407,352,298,228,152,154,100,101,67,59,52,67,103,81,74,49,40,23,15,12,5,8,5,8,1,3,2,3,1,1,1,1,1,3,0,1,0,1,1,0,0,0
2013,0,16,72,447,659,869,1116,1460,1257,725,439,206,159,177,230,290,375,484,644,808,927,1024,1114,1069,1085,1017,949,839,738,553,476,366,251,178,155,142,152,95,104,74,61,45,44,45,34,38,30,23,27,14,13,11,12,9,4,5,9,9,3,3,0,2,1,2,0,0,0
2014,1,6,41,88,220,310,391,328,303,321,279,192,151,137,97,66,103,126,186,227,347,342,420,467,495,424,373,381,257,216,172,186,154,133,143,120,245,228,163,126,79,48,41,39,43,31,21,23,8,12,12,8,7,6,6,6,3,2,7,0,2,1,0,0,0,0,1
2015,0,2,6,66,243,485,720,805,712,480,342,235,206,155,132,123,99,85,84,86,132,184,242,267,235,282,228,168,144,120,97,77,63,64,43,32,80,69,68,50,44,30,20,13,16,11,13,6,11,3,7,9,6,1,3,5,1,0,2,0,3,1,2,0,1,1,0
2016,10,97,391,1780,3855,7930,13105,17692,19713,19667,16360,12600,8839,7246,5931,4708,4214,3594,3361,3229,3554,3732,4268,4347,4591,4568,4425,4210,3778,3450,3078,2790,2272,1932,1422,1225,1020,1696,1381,1116,912,649,474,414,307,273,214,191,158,138,118,97,82,70,41,37,31,32,23,11,5,14,3,10,6,4,10
2017,0,0,19,184,967,2005,1924,1179,687,573,528,425,378,230,150,75,79,109,101,186,203,274,385,482,445,404,340,248,164,127,98,63,75,47,29,22,9,24,13,12,17,7,8,6,1,7,5,4,18,11,14,17,8,6,4,1,2,0,1,1,0,1,1,0,0,0,0
