IrGFS : Irish Groundfish Survey (IBTS 4th Qtr) - Sole 7.g number at age,,,,,,,,,,,,,,,
2003,2017,,,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,
Effort (hrs),Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,,,,,
832,1,5,1,3,3,4,4,0,1,0,2003,,,,
980,1,8,6,5,1,2,1,0,0,1,2004,,,,
845,0,0,6,2,4,2,2,0,0,0,2005,,,,
1046,0,0,4,4,6,4,1,0,0,0,2006,,,,
1168,0,2,1,1,1,1,1,0,0,0,2007,,,,
1139,2,9,7,3,2,0,2,0,1,0,2008,,,,
1018,0,15,3,4,1,1,2,1,0,2,2009,,,,
1381,0,12,25,9,8,1,3,4,0,2.1,2010,,,,
1392,2,0,20,8,6,3,0,1,1,3.708333333,2011,,,,
1470,0,7,3,3,3,1,0,0,0,0,2012,,,,
1439,0,2,10,8,2,2,4,2,1,1,2013,,,,
1487,0,3,8,8,6,4,1,0,0.142857143,0.136363636,2014,,,,
1236,13,12,8,8,2,1,4,6,2,1,2015,,,,
1438,2,22,10,11,8,5,0,3,2,5,2016,,,,
1233,12,12,10,2,3,3,1,2,0,3,2017,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
