Whiting in the Celtic Sea VIIb-k Tuning data WGCSE 2018 ,,,,,,
101,,,,,,
IGFS Extended No/Hr,,,,,,
2003,2017,,,,,
1,1,0.75,0.92,,,
0,5,,,,,
,Age0,Age1,Age2,Age3,Age4,Age5
1,207.826,201.071,73.602,26.557,13.911,0.658
1,698.971,186.364,79.658,19.396,7.531,5.387
1,195.372,89.18,21.949,7.791,3.758,5.495
1,459.365,144.858,70.157,14.538,6.327,1.488
1,895.572,126.044,31.128,8.434,1.512,0.689
1,536.87,199.458,62.553,11.364,3.787,1.175
1,755.508,267.503,52.211,12.282,2.666,1.082
1,108.815,282.721,120.372,26.99,4.408,1.341
1,432.351,205.258,208.778,71.683,14.117,3
1,261.964,147.137,88.25,77.797,10.675,2.054
1,1229.544 90.559,64.323,20.139,27.93,8.694,
1,112.842,314.208,38.057,19.858,9.104,12.72
1,273.468,97.528,144.185,11.552,6.13,7.197
1,280.238,117.811,72.835,38.436,7.998,4.413
1,384.251,164.095,39.646,17.007,3.201,1.556
